,Time,description_delhi,temp_delhi,Feels_delhi,Precip_delhi,Humidity_delhi,wind_delhi
0,13:00,Partly Cloudy,41,45,0,28,NW 10 km/h 
1,14:00,Partly Cloudy,41,45,0,27,NW 11 km/h 
2,15:00,Partly Cloudy,42,46,0,26,NW 12 km/h 
3,16:00,Partly Cloudy,42,45,0,26,NW 13 km/h 
4,17:00,Mostly Sunny,41,45,0,26,NW 14 km/h 
5,18:00,Mostly Sunny,41,44,0,26,NW 14 km/h 
6,19:00,Mostly Sunny,40,43,0,28,NNW 13 km/h 
7,20:30,Clear,38,42,0,34,N 8 km/h 
8,21:30,Clear,37,41,0,36,N 8 km/h 
9,22:30,Clear,36,40,0,38,NNE 6 km/h 
10,23:30,Clear,36,40,0,41,NE 5 km/h 
11,00:30,Clear,35,40,0,43,NNE 3 km/h 
12,01:30,Clear,35,39,0,45,N 3 km/h 
13,02:30,Clear,34,38,0,47,N 3 km/h 
14,03:30,Clear,33,37,0,50,NNW 3 km/h 
15,04:30,Clear,33,37,0,50,N 2 km/h 
