,Time,description_ghaziabad,temp_ghaziabad,Feels_ghaziabad,Precip_ghaziabad,Humidity_ghaziabad,wind_ghaziabad
0,13:00,Sunny,41,45,0,28,NW 13 km/h 
1,14:00,Mostly Sunny,41,45,0,26,NW 14 km/h 
2,15:00,Mostly Sunny,42,45,0,26,NW 15 km/h 
3,16:00,Mostly Sunny,42,45,0,26,NW 15 km/h 
4,17:00,Mostly Sunny,41,45,0,27,NW 14 km/h 
5,18:00,Mostly Sunny,40,44,0,29,NW 13 km/h 
6,19:00,Mostly Sunny,39,43,0,33,NNW 11 km/h 
7,20:30,Clear,37,41,0,39,N 8 km/h 
8,21:30,Clear,36,40,0,42,NNE 7 km/h 
9,22:30,Clear,35,39,0,43,NE 6 km/h 
10,23:30,Clear,35,39,0,46,ENE 6 km/h 
11,00:30,Clear,34,39,0,48,SW 5 km/h 
12,01:30,Clear,34,38,0,49,WSW 4 km/h 
13,02:30,Clear,33,37,0,50,NE 3 km/h 
14,03:30,Clear,32,36,0,51,NNE 2 km/h 
15,04:30,Clear,32,36,0,51,NE 1 km/h 
