,Time,description_sonipat,temp_sonipat,Feels_sonipat,Precip_sonipat,Humidity_sonipat,wind_sonipat
0,13:00,Partly Cloudy,40,44,0,29,NW 13 km/h 
1,14:00,Partly Cloudy,41,45,0,28,NW 14 km/h 
2,15:00,Partly Cloudy,41,46,0,28,NW 15 km/h 
3,16:00,Mostly Sunny,41,45,0,28,NW 15 km/h 
4,17:00,Mostly Sunny,41,45,0,28,NW 15 km/h 
5,18:00,Sunny,40,44,0,29,NW 15 km/h 
6,19:00,Sunny,38,42,0,33,NW 13 km/h 
7,20:30,Clear,36,41,0,41,NNW 9 km/h 
8,21:30,Clear,35,39,0,41,NNW 9 km/h 
9,22:30,Clear,35,38,0,42,NNW 7 km/h 
10,23:30,Clear,34,38,0,43,NNW 6 km/h 
11,00:30,Clear,34,37,0,45,NNW 4 km/h 
12,01:30,Clear,33,37,0,47,NNE 4 km/h 
13,02:30,Clear,32,36,0,49,NE 3 km/h 
14,03:30,Clear,32,35,0,51,NE 3 km/h 
15,04:30,Clear,31,34,0,52,NNE 2 km/h 
